#---------------------------------------------------------------------------------------------------------------
#     NAME                    P0                                     P1                               P1_I
#                             (s)
#---------------------------------------------------------------------------------------------------------------
1     J0006+1834   cnt96      0.69374767047           14  cn95       2.097E-15         12  cn95       *
2     B0011+47     dth78      1.240699038946          11  hlk+04     5.6446E-16        14  hlk+04     5.60e-16
3     B0021-72C    mld+90     0.00575677999551320     17  fck+03     -4.9850E-20        7  fck+03     -5.20e-20
4     B0021-72D    mlr+91     0.00535757328486266     18  fck+03     -3.430E-21         6  fck+03     -4.48e-21
5     B0021-72F    mlr+91     0.00262357935251098     14  fck+03     6.4500E-20         4  fck+03     6.37e-20

6     B0021-72G    rlm+95     0.0040403791435629       4  fck+03     -4.2150E-20       17  fck+03     -4.34e-20
7     B0021-72L    rlm+95     0.0043461679994601      14  fck+03     -1.2206E-19        4  fck+03     *
8     B0021-72M    mlr+91     0.0036766432175977      10  fck+03     -3.843E-20         3  fck+03     *
9     B0021-72N    rlm+95     0.0030539543462594       4  fck+03     -2.1871E-20       10  fck+03     -2.33e-20
10    J0026+6320   jml+09     0.318357731235           1  jml+09     0.15006E-15        6  jml+09     *

11    J0030+0451   lzb+00     0.0048654532073692       3  aaa+09e    1.01736E-20       10  aaa+09e    1.00e-20
12    B0031-07     lvw69a     0.9429509945598         17  hlk+04     4.08210E-16        7  hlk+04     4.08e-16
13    B0037+56     dtws85     1.1182253452412         13  hlk+04     2.878973E-15      12  hlk+04     2.88e-15
14    J0045-7042   mfl+06     0.63233580002            6  mfl+06     2.49E-15           3  mfl+06     *
15    B0045+33     dtws85     1.217094296058           8  hlk+04     2.35454E-15        6  hlk+04     *

16    J0051+0423   snt97      0.35473179890            1  snt97      7E-18              2  snt97      *
17    B0052+51     dtws85     2.115171148865           4  hlk+04     9.53764E-15        4  hlk+04     *
18    B0053+47     dtws85     0.472036662076           7  hlk+04     3.32849E-15        7  hlk+04     *
19    J0057-7201   ckm+01     0.7380624426             2  ckm+01     1.0E-16            8  ckm+01     *
20    B0059+65     dbtb82     1.679164229064          12  hlk+04     5.95492E-15        9  hlk+04     *

21    J0106+4855   pga+12     0.0831573050050          6  pga+12     4.2792E-16         5  pga+12     *
22    J0108-1431   tnj+94     0.807564614019          20  hlk+04     7.704E-17         12  hlk+04     6.51e-17
23    B0105+65     dls72      1.2836598429             5  hlk+04     1.3051E-14         3  hlk+04     *
24    B0105+68     dtws85     1.071118109859           5  hlk+04     4.809E-17          4  hlk+04     *
25    J0111-7131   mfl+06     0.68854151164            5  mfl+06     7.092E-15          4  mfl+06     *

26    J0113-7220   ckm+01     0.32588301613            1  ckm+01     4.8590E-15        15  ckm+01     *
27    B0114+58     stwd85     0.1014390664824         20  hlk+04     5.849955E-15      17  hlk+04     5.85e-15
28    J0131-7310   mfl+06     0.348124045581           7  mfl+06     1.7614E-15         7  mfl+06     *
29    J0133-6957   lml+98     0.463473741703           3  dsb+98     1.200E-16          2  dsb+98     *
30    J0134-2937   mld+96     0.13696158413510        10  hlk+04     7.83718E-17       10  hlk+04     7.81e-17

31    J0137+1654   lxf+05     0.4147630265082          5  lxf+05     0.01223E-15        3  lxf+05     *
32    J0139+5621   cvh+14     1.77534382596           10  cvh+14     7.9096E-14         3  cvh+14     *
33    B0136+57     dth78      0.272450630950          15  hlk+04     1.071167E-14      12  hlk+04     1.07e-14
34    B0138+59     mth72      1.2229485205457         18  hlk+04     3.91070E-16       14  hlk+04     *
35    B0144+59     stwd85     0.19632137543003        16  ywml10     2.56763E-16        8  ywml10     2.57e-16

36    B0148-06     mlt+78     1.464664549334           7  hlk+04     4.4259E-16         5  hlk+04     4.35e-16
37    J0152+0948   clm+05     2.74664729014           10  clm+05     1.700E-15          4  clm+05     *
38    B0149-16     mlt+78     0.8327416126878         13  hlk+04     1.299202E-15       6  hlk+04     1.30e-15
39    B0153+39     dtws85     1.81156061131           10  hlk+04     1.516E-16         10  hlk+04     *
40    B0154+61     dls72      2.35174493646            7  hlk+04     1.889254E-13       5  hlk+04     *

41    J0205+6449   mss+02     0.06571592849324         9  lrc+09     1.93754256E-13     4  lrc+09     1.94e-13
42    B0203-40     mlt+78     0.630550140847           6  smd93      1.1994E-15         5  smd93      1.19e-15
43    J0211-8159   lml+98     1.0773327013             8  dsb+98     2.9E-16            2  dsb+98     *
44    J0212+5222   bck+13     0.376386292              1  bck+13     6.6E-15            3  bck+13     *
45    J0215+6218   llc98      0.548879819155           3  hlk+04     6.6212E-16         3  hlk+04     *

46    B0226+70     dtws85     1.466820306152           7  hlk+04     3.10998E-15        7  hlk+04     *
47    J0248+6021   rcl+99     0.217094                 5  tpc+11     5.509E-14          5  tpc+11     5.51e-14
48    B0254-53     lvw69b     0.447708444058           3  smd93      3.06E-17           3  smd93      2.45e-17
49    B0301+19     fss73      1.387584446262           3  hlk+04     1.295235E-15      20  hlk+04     1.29e-15
50    B0320+39     dth78      3.032071956385          10  hlk+04     6.3562E-16         7  hlk+04     6.13e-16

51    J0324+5239   bck+13     0.336620230291           3  bck+13     0.381E-15          3  bck+13     *
52    J0329+1654   lxf+05     0.893319660649           1  lxf+05     0.21525E-15        6  lxf+05     *
53    B0329+54     cp68       0.714519699726           4  hlk+04     2.048265E-15       8  hlk+04     2.05e-15
54    B0331+45     dtws85     0.26920054092953        13  hlk+04     7.3505E-18        10  hlk+04     7.29e-18
55    J0343-3000   bjd+06     2.59702715738            9  bjd+06     0.057E-15          9  bjd+06     *

56    B0339+53     dth78      1.934478067294          15  hlk+04     1.342243E-14      15  hlk+04     *
57    B0353+52     dtws85     0.1970300980314          3  hlk+04     4.76594E-16        3  hlk+04     4.76e-16
58    B0355+54     mth72      0.1563824177774         15  hlk+04     4.396862E-15      13  hlk+04     4.40e-15
59    B0403-76     mlt+78     0.545252742352          16  smd93      1.5382E-15        12  smd93      *
60    B0402+61     dth78      0.5945761650437          8  ywml10     5.57316E-15        3  ywml10     5.55e-15

61    B0410+69     dtws85     0.3907150899386          3  hlk+04     7.6601E-17         3  hlk+04     7.64e-17
